ID Estudiante;Nombre;curso;edad;Asignatura;Nota;Observacion de conducta;materias_debiles;Asistencia;profesor;Familia;Entrevistas
1;Jorge D¡az Guerrero;1ø B sico A;14;Lenguaje;5.8;Muy responsable y puntual con sus entregas.;F¡sica;0.85;Renata Miranda Valencia;Apoderado: Victoria D¡az Lavandero;Se cita a apoderado por reiteradas faltas de respeto a inspectores. Apoderado se compromete a conversar con su hijo.
1;Jorge D¡az Guerrero;1ø B sico A;14;Matem ticas;6.9;;F¡sica;0.85;Renata Miranda Valencia;Apoderado: Victoria D¡az Lavandero;Se cita a apoderado por reiteradas faltas de respeto a inspectores. Apoderado se compromete a conversar con su hijo.
1;Jorge D¡az Guerrero;1ø B sico A;14;Ciencias Naturales;6.1;Muy responsable y puntual con sus entregas.;F¡sica;0.85;Renata Miranda Valencia;Apoderado: Victoria D¡az Lavandero;Se cita a apoderado por reiteradas faltas de respeto a inspectores. Apoderado se compromete a conversar con su hijo.
1;Jorge D¡az Guerrero;1ø B sico A;14;Historia;6.4;;F¡sica;0.85;Renata Miranda Valencia;Apoderado: Victoria D¡az Lavandero;Se cita a apoderado por reiteradas faltas de respeto a inspectores. Apoderado se compromete a conversar con su hijo.
1;Jorge D¡az Guerrero;1ø B sico A;14;Ingl‚s;6.9;Ha mejorado notablemente su rendimiento.;F¡sica;0.85;Renata Miranda Valencia;Apoderado: Victoria D¡az Lavandero;Se cita a apoderado por reiteradas faltas de respeto a inspectores. Apoderado se compromete a conversar con su hijo.
1;Jorge D¡az Guerrero;1ø B sico A;14;M£sica;6.7;;F¡sica;0.85;Renata Miranda Valencia;Apoderado: Victoria D¡az Lavandero;Se cita a apoderado por reiteradas faltas de respeto a inspectores. Apoderado se compromete a conversar con su hijo.
1;Jorge D¡az Guerrero;1ø B sico A;14;Artes Visuales;5.6;;F¡sica;0.85;Renata Miranda Valencia;Apoderado: Victoria D¡az Lavandero;Se cita a apoderado por reiteradas faltas de respeto a inspectores. Apoderado se compromete a conversar con su hijo.
1;Jorge D¡az Guerrero;1ø B sico A;14;Educaci¢n F¡sica;5.9;Copia en la prueba.;F¡sica;0.85;Renata Miranda Valencia;Apoderado: Victoria D¡az Lavandero;Se cita a apoderado por reiteradas faltas de respeto a inspectores. Apoderado se compromete a conversar con su hijo.
2;Aurora Tapia Aravena;1ø B sico A;9;Lenguaje;5.3;;Ingl‚s;0.95;Fernanda Riquelme Atria;Apoderado: Sebasti n Jim‚nez Flores;Apoderados expresan preocupaci¢n por posible situaci¢n de acoso escolar. Convivencia Escolar iniciar  protocolo de investigaci¢n.
2;Aurora Tapia Aravena;1ø B sico A;9;Matem ticas;4.9;;Ingl‚s;0.95;Fernanda Riquelme Atria;Apoderado: Sebasti n Jim‚nez Flores;Apoderados expresan preocupaci¢n por posible situaci¢n de acoso escolar. Convivencia Escolar iniciar  protocolo de investigaci¢n.
2;Aurora Tapia Aravena;1ø B sico A;9;Ciencias Naturales;4.8;Muy responsable y puntual con sus entregas.;Ingl‚s;0.95;Fernanda Riquelme Atria;Apoderado: Sebasti n Jim‚nez Flores;Apoderados expresan preocupaci¢n por posible situaci¢n de acoso escolar. Convivencia Escolar iniciar  protocolo de investigaci¢n.
2;Aurora Tapia Aravena;1ø B sico A;9;Historia;4.6;;Ingl‚s;0.95;Fernanda Riquelme Atria;Apoderado: Sebasti n Jim‚nez Flores;Apoderados expresan preocupaci¢n por posible situaci¢n de acoso escolar. Convivencia Escolar iniciar  protocolo de investigaci¢n.
2;Aurora Tapia Aravena;1ø B sico A;9;Ingl‚s;4.9;;Ingl‚s;0.95;Fernanda Riquelme Atria;Apoderado: Sebasti n Jim‚nez Flores;Apoderados expresan preocupaci¢n por posible situaci¢n de acoso escolar. Convivencia Escolar iniciar  protocolo de investigaci¢n.
2;Aurora Tapia Aravena;1ø B sico A;9;M£sica;5.1;Ha mejorado notablemente su rendimiento.;Ingl‚s;0.95;Fernanda Riquelme Atria;Apoderado: Sebasti n Jim‚nez Flores;Apoderados expresan preocupaci¢n por posible situaci¢n de acoso escolar. Convivencia Escolar iniciar  protocolo de investigaci¢n.
2;Aurora Tapia Aravena;1ø B sico A;9;Artes Visuales;5.2;;Ingl‚s;0.95;Fernanda Riquelme Atria;Apoderado: Sebasti n Jim‚nez Flores;Apoderados expresan preocupaci¢n por posible situaci¢n de acoso escolar. Convivencia Escolar iniciar  protocolo de investigaci¢n.
2;Aurora Tapia Aravena;1ø B sico A;9;Educaci¢n F¡sica;4.8;;Ingl‚s;0.95;Fernanda Riquelme Atria;Apoderado: Sebasti n Jim‚nez Flores;Apoderados expresan preocupaci¢n por posible situaci¢n de acoso escolar. Convivencia Escolar iniciar  protocolo de investigaci¢n.
3;Trinidad Aguirre Rojas;1ø B sico A;10;Lenguaje;5.4;;Lenguaje;0.98;Sergio Bravo Morales;Apoderado: Pilar Castro Lavandero;Apoderados expresan preocupaci¢n por posible situaci¢n de acoso escolar. Convivencia Escolar iniciar  protocolo de investigaci¢n.
