"Nombre","curso","edad","Asignatura","Detalle_Nota","Nota","Asistencia","Observacion de conducta"
"Claudia Higueras-Bertrán","4to Medio A","15","Historia","Tarea 1","5,4","81%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Claudia Higueras-Bertrán","4to Medio A","15","Historia","Exposición 2","5,1","81%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Claudia Higueras-Bertrán","4to Medio A","15","Lenguaje","Exposición 1","5,9","81%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Claudia Higueras-Bertrán","4to Medio A","15","Lenguaje","Prueba 2","3,8","81%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Claudia Higueras-Bertrán","4to Medio A","15","Ciencias","Tarea 1","4,6","81%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Claudia Higueras-Bertrán","4to Medio A","15","Ciencias","Ensayo 2","4,4","81%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Claudia Higueras-Bertrán","4to Medio A","15","Matemáticas","Tarea 1","4,9","81%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Claudia Higueras-Bertrán","4to Medio A","15","Matemáticas","Prueba 2","6,0","81%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Claudia Higueras-Bertrán","4to Medio A","15","Matemáticas","Control 3","5,7","81%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Claudia Higueras-Bertrán","4to Medio A","15","Matemáticas","Control 4","3,9","81%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Claudia Higueras-Bertrán","4to Medio A","15","Educación Física","Control 1","5,0","81%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Claudia Higueras-Bertrán","4to Medio A","15","Educación Física","Control 2","5,3","81%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Claudia Higueras-Bertrán","4to Medio A","15","Educación Física","Ensayo 3","6,9","81%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Claudia Higueras-Bertrán","4to Medio A","15","Educación Física","Laboratorio 4","5,8","81%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Josué Aragón","1ro Medio B","17","Ciencias","Tarea 1","3,6","84%","Muestra gran interés, pero a veces conversa en clases."
"Josué Aragón","1ro Medio B","17","Ciencias","Ensayo 2","7,0","84%","Muestra gran interés, pero a veces conversa en clases."
"Josué Aragón","1ro Medio B","17","Ciencias","Exposición 3","6,9","84%","Muestra gran interés, pero a veces conversa en clases."
"Josué Aragón","1ro Medio B","17","Ciencias","Laboratorio 4","4,0","84%","Muestra gran interés, pero a veces conversa en clases."
"Josué Aragón","1ro Medio B","17","Educación Física","Prueba 1","4,2","84%","Muestra gran interés, pero a veces conversa en clases."
"Josué Aragón","1ro Medio B","17","Educación Física","Ensayo 2","6,2","84%","Muestra gran interés, pero a veces conversa en clases."
"Josué Aragón","1ro Medio B","17","Educación Física","Prueba 3","5,6","84%","Muestra gran interés, pero a veces conversa en clases."
"Josué Aragón","1ro Medio B","17","Educación Física","Laboratorio 4","3,3","84%","Muestra gran interés, pero a veces conversa en clases."
"Josué Aragón","1ro Medio B","17","Lenguaje","Laboratorio 1","3,5","84%","Muestra gran interés, pero a veces conversa en clases."
"Josué Aragón","1ro Medio B","17","Lenguaje","Ensayo 2","6,0","84%","Muestra gran interés, pero a veces conversa en clases."
"Josué Aragón","1ro Medio B","17","Lenguaje","Laboratorio 3","4,9","84%","Muestra gran interés, pero a veces conversa en clases."
"Josué Aragón","1ro Medio B","17","Lenguaje","Control 4","6,9","84%","Muestra gran interés, pero a veces conversa en clases."
"León Rodriguez Caro","3ro Medio A","16","Lenguaje","Laboratorio 1","5,9","81%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
