"Nombre","curso","edad","Asignatura","Detalle_Nota","Nota","Asistencia","Observacion de conducta"
"Daniel Pablo Duran Ballesteros","1ro Medio B","16","Ciencias","Laboratorio 1","5,0","89%","Buen rendimiento académico, aunque es muy tímido."
"Daniel Pablo Duran Ballesteros","1ro Medio B","16","Ciencias","Ensayo 2","3,0","89%","Buen rendimiento académico, aunque es muy tímido."
"Daniel Pablo Duran Ballesteros","1ro Medio B","16","Ciencias","Tarea 3","4,3","89%","Buen rendimiento académico, aunque es muy tímido."
"Daniel Pablo Duran Ballesteros","1ro Medio B","16","Ciencias","Laboratorio 4","4,2","89%","Buen rendimiento académico, aunque es muy tímido."
"Daniel Pablo Duran Ballesteros","1ro Medio B","16","Inglés","Laboratorio 1","6,9","89%","Buen rendimiento académico, aunque es muy tímido."
"Daniel Pablo Duran Ballesteros","1ro Medio B","16","Inglés","Prueba 2","3,5","89%","Buen rendimiento académico, aunque es muy tímido."
"Daniel Pablo Duran Ballesteros","1ro Medio B","16","Inglés","Laboratorio 3","4,8","89%","Buen rendimiento académico, aunque es muy tímido."
"Daniel Pablo Duran Ballesteros","1ro Medio B","16","Inglés","Exposición 4","5,0","89%","Buen rendimiento académico, aunque es muy tímido."
"Daniel Pablo Duran Ballesteros","1ro Medio B","16","Historia","Control 1","5,9","89%","Buen rendimiento académico, aunque es muy tímido."
"Daniel Pablo Duran Ballesteros","1ro Medio B","16","Historia","Laboratorio 2","5,0","89%","Buen rendimiento académico, aunque es muy tímido."
"Daniel Pablo Duran Ballesteros","1ro Medio B","16","Historia","Ensayo 3","4,1","89%","Buen rendimiento académico, aunque es muy tímido."
"Daniel Pablo Duran Ballesteros","1ro Medio B","16","Educación Física","Prueba 1","5,5","89%","Buen rendimiento académico, aunque es muy tímido."
"Daniel Pablo Duran Ballesteros","1ro Medio B","16","Educación Física","Control 2","5,8","89%","Buen rendimiento académico, aunque es muy tímido."
"Daniel Pablo Duran Ballesteros","1ro Medio B","16","Educación Física","Prueba 3","4,4","89%","Buen rendimiento académico, aunque es muy tímido."
"Daniel Pablo Duran Ballesteros","1ro Medio B","16","Matemáticas","Ensayo 1","3,4","89%","Buen rendimiento académico, aunque es muy tímido."
"Daniel Pablo Duran Ballesteros","1ro Medio B","16","Matemáticas","Exposición 2","5,8","89%","Buen rendimiento académico, aunque es muy tímido."
"Reynaldo Cisneros Sabater","1ro Medio A","15","Inglés","Prueba 1","3,1","90%","Muestra gran interés, pero a veces conversa en clases."
"Reynaldo Cisneros Sabater","1ro Medio A","15","Inglés","Exposición 2","5,4","90%","Muestra gran interés, pero a veces conversa en clases."
"Reynaldo Cisneros Sabater","1ro Medio A","15","Inglés","Prueba 3","4,1","90%","Muestra gran interés, pero a veces conversa en clases."
"Reynaldo Cisneros Sabater","1ro Medio A","15","Inglés","Control 4","7,0","90%","Muestra gran interés, pero a veces conversa en clases."
"Reynaldo Cisneros Sabater","1ro Medio A","15","Lenguaje","Prueba 1","6,1","90%","Muestra gran interés, pero a veces conversa en clases."
"Reynaldo Cisneros Sabater","1ro Medio A","15","Lenguaje","Ensayo 2","3,1","90%","Muestra gran interés, pero a veces conversa en clases."
"Reynaldo Cisneros Sabater","1ro Medio A","15","Lenguaje","Tarea 3","5,4","90%","Muestra gran interés, pero a veces conversa en clases."
"Reynaldo Cisneros Sabater","1ro Medio A","15","Historia","Laboratorio 1","3,5","90%","Muestra gran interés, pero a veces conversa en clases."
"Reynaldo Cisneros Sabater","1ro Medio A","15","Historia","Laboratorio 2","4,8","90%","Muestra gran interés, pero a veces conversa en clases."
"Reynaldo Cisneros Sabater","1ro Medio A","15","Historia","Control 3","6,2","90%","Muestra gran interés, pero a veces conversa en clases."
"Irma Arranz Ureña","3ro Medio A","15","Historia","Control 1","4,9","84%","Falta de estudio. Se cita al apoderado."
"Irma Arranz Ureña","3ro Medio A","15","Historia","Prueba 2","6,5","84%","Falta de estudio. Se cita al apoderado."
"Irma Arranz Ureña","3ro Medio A","15","Inglés","Laboratorio 1","3,9","84%","Falta de estudio. Se cita al apoderado."
"Irma Arranz Ureña","3ro Medio A","15","Inglés","Prueba 2","6,0","84%","Falta de estudio. Se cita al apoderado."
"Irma Arranz Ureña","3ro Medio A","15","Matemáticas","Ensayo 1","6,7","84%","Falta de estudio. Se cita al apoderado."
"Irma Arranz Ureña","3ro Medio A","15","Matemáticas","Tarea 2","5,6","84%","Falta de estudio. Se cita al apoderado."
"Irma Arranz Ureña","3ro Medio A","15","Matemáticas","Prueba 3","3,3","84%","Falta de estudio. Se cita al apoderado."
"Irma Arranz Ureña","3ro Medio A","15","Matemáticas","Ensayo 4","3,2","84%","Falta de estudio. Se cita al apoderado."
"Irma Arranz Ureña","3ro Medio A","15","Ciencias","Laboratorio 1","6,4","84%","Falta de estudio. Se cita al apoderado."
"Irma Arranz Ureña","3ro Medio A","15","Ciencias","Exposición 2","4,8","84%","Falta de estudio. Se cita al apoderado."
"Irma Arranz Ureña","3ro Medio A","15","Ciencias","Prueba 3","3,3","84%","Falta de estudio. Se cita al apoderado."
"Irma Arranz Ureña","3ro Medio A","15","Lenguaje","Ensayo 1","3,8","84%","Falta de estudio. Se cita al apoderado."
"Irma Arranz Ureña","3ro Medio A","15","Lenguaje","Tarea 2","4,7","84%","Falta de estudio. Se cita al apoderado."
"Irma Arranz Ureña","3ro Medio A","15","Lenguaje","Laboratorio 3","5,6","84%","Falta de estudio. Se cita al apoderado."
"Irma Arranz Ureña","3ro Medio A","15","Educación Física","Exposición 1","4,3","84%","Falta de estudio. Se cita al apoderado."
"Irma Arranz Ureña","3ro Medio A","15","Educación Física","Laboratorio 2","5,5","84%","Falta de estudio. Se cita al apoderado."
"Irma Arranz Ureña","3ro Medio A","15","Educación Física","Control 3","3,7","84%","Falta de estudio. Se cita al apoderado."
"Irma Arranz Ureña","3ro Medio A","15","Educación Física","Tarea 4","3,3","84%","Falta de estudio. Se cita al apoderado."
"Eva Font Haro","1ro Medio A","15","Historia","Ensayo 1","6,1","100%","Falta de estudio. Se cita al apoderado."
"Eva Font Haro","1ro Medio A","15","Historia","Laboratorio 2","4,1","100%","Falta de estudio. Se cita al apoderado."
"Eva Font Haro","1ro Medio A","15","Historia","Control 3","5,6","100%","Falta de estudio. Se cita al apoderado."
"Eva Font Haro","1ro Medio A","15","Educación Física","Exposición 1","6,9","100%","Falta de estudio. Se cita al apoderado."
"Eva Font Haro","1ro Medio A","15","Educación Física","Tarea 2","3,1","100%","Falta de estudio. Se cita al apoderado."
"Eva Font Haro","1ro Medio A","15","Inglés","Laboratorio 1","5,4","100%","Falta de estudio. Se cita al apoderado."
"Eva Font Haro","1ro Medio A","15","Inglés","Control 2","4,1","100%","Falta de estudio. Se cita al apoderado."
"Eva Font Haro","1ro Medio A","15","Inglés","Ensayo 3","5,7","100%","Falta de estudio. Se cita al apoderado."
"Gaspar Palmer Benavides","2do Medio A","17","Historia","Laboratorio 1","4,4","90%","Buen rendimiento académico, aunque es muy tímido."
"Gaspar Palmer Benavides","2do Medio A","17","Historia","Ensayo 2","6,0","90%","Buen rendimiento académico, aunque es muy tímido."
"Gaspar Palmer Benavides","2do Medio A","17","Historia","Ensayo 3","4,7","90%","Buen rendimiento académico, aunque es muy tímido."
"Gaspar Palmer Benavides","2do Medio A","17","Historia","Ensayo 4","5,0","90%","Buen rendimiento académico, aunque es muy tímido."
"Gaspar Palmer Benavides","2do Medio A","17","Inglés","Tarea 1","5,3","90%","Buen rendimiento académico, aunque es muy tímido."
"Gaspar Palmer Benavides","2do Medio A","17","Inglés","Ensayo 2","4,3","90%","Buen rendimiento académico, aunque es muy tímido."
"Gaspar Palmer Benavides","2do Medio A","17","Inglés","Laboratorio 3","5,2","90%","Buen rendimiento académico, aunque es muy tímido."
"Gaspar Palmer Benavides","2do Medio A","17","Educación Física","Laboratorio 1","5,6","90%","Buen rendimiento académico, aunque es muy tímido."
"Gaspar Palmer Benavides","2do Medio A","17","Educación Física","Laboratorio 2","3,3","90%","Buen rendimiento académico, aunque es muy tímido."
"Gaspar Palmer Benavides","2do Medio A","17","Educación Física","Prueba 3","3,6","90%","Buen rendimiento académico, aunque es muy tímido."
"Consuela Ariza Alcolea","2do Medio A","17","Inglés","Exposición 1","6,5","97%","Presenta un progreso inconsistente; alterna entre notas altas y bajas."
"Consuela Ariza Alcolea","2do Medio A","17","Inglés","Exposición 2","4,9","97%","Presenta un progreso inconsistente; alterna entre notas altas y bajas."
"Consuela Ariza Alcolea","2do Medio A","17","Inglés","Prueba 3","6,9","97%","Presenta un progreso inconsistente; alterna entre notas altas y bajas."
"Consuela Ariza Alcolea","2do Medio A","17","Inglés","Prueba 4","7,0","97%","Presenta un progreso inconsistente; alterna entre notas altas y bajas."
"Consuela Ariza Alcolea","2do Medio A","17","Historia","Laboratorio 1","4,0","97%","Presenta un progreso inconsistente; alterna entre notas altas y bajas."
"Consuela Ariza Alcolea","2do Medio A","17","Historia","Ensayo 2","4,4","97%","Presenta un progreso inconsistente; alterna entre notas altas y bajas."
"Consuela Ariza Alcolea","2do Medio A","17","Historia","Exposición 3","6,4","97%","Presenta un progreso inconsistente; alterna entre notas altas y bajas."
"Consuela Ariza Alcolea","2do Medio A","17","Lenguaje","Prueba 1","6,6","97%","Presenta un progreso inconsistente; alterna entre notas altas y bajas."
"Consuela Ariza Alcolea","2do Medio A","17","Lenguaje","Control 2","5,0","97%","Presenta un progreso inconsistente; alterna entre notas altas y bajas."
"Consuela Ariza Alcolea","2do Medio A","17","Lenguaje","Control 3","5,5","97%","Presenta un progreso inconsistente; alterna entre notas altas y bajas."
"Consuela Ariza Alcolea","2do Medio A","17","Ciencias","Tarea 1","4,1","97%","Presenta un progreso inconsistente; alterna entre notas altas y bajas."
"Consuela Ariza Alcolea","2do Medio A","17","Ciencias","Exposición 2","6,7","97%","Presenta un progreso inconsistente; alterna entre notas altas y bajas."
"Consuela Ariza Alcolea","2do Medio A","17","Ciencias","Laboratorio 3","4,4","97%","Presenta un progreso inconsistente; alterna entre notas altas y bajas."
"Atilio Borrell-Peinado","2do Medio A","15","Lenguaje","Exposición 1","7,0","95%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Atilio Borrell-Peinado","2do Medio A","15","Lenguaje","Exposición 2","6,0","95%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Atilio Borrell-Peinado","2do Medio A","15","Lenguaje","Ensayo 3","3,5","95%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Atilio Borrell-Peinado","2do Medio A","15","Lenguaje","Exposición 4","7,0","95%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Atilio Borrell-Peinado","2do Medio A","15","Historia","Ensayo 1","3,7","95%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Atilio Borrell-Peinado","2do Medio A","15","Historia","Exposición 2","3,9","95%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Atilio Borrell-Peinado","2do Medio A","15","Educación Física","Ensayo 1","6,5","95%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Atilio Borrell-Peinado","2do Medio A","15","Educación Física","Laboratorio 2","4,7","95%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Atilio Borrell-Peinado","2do Medio A","15","Educación Física","Tarea 3","4,2","95%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Atilio Borrell-Peinado","2do Medio A","15","Educación Física","Tarea 4","6,8","95%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Atilio Borrell-Peinado","2do Medio A","15","Ciencias","Tarea 1","5,7","95%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Atilio Borrell-Peinado","2do Medio A","15","Ciencias","Laboratorio 2","6,0","95%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Atilio Borrell-Peinado","2do Medio A","15","Ciencias","Control 3","6,7","95%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Atilio Borrell-Peinado","2do Medio A","15","Ciencias","Laboratorio 4","3,5","95%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Atilio Borrell-Peinado","2do Medio A","15","Inglés","Ensayo 1","6,1","95%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Atilio Borrell-Peinado","2do Medio A","15","Inglés","Tarea 2","5,1","95%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
