ID Estudiante;Nombre;curso;edad;Asignatura;Nota;Observacion de conducta;materias_debiles;Asistencia;profesor;Familia;Entrevistas
1;Norberto Iriarte Pi;1° Básico A;14;Lenguaje;4.1;Molesta a sus compañeros e interrumpe la clase.;Física;0.93;Nydia Ávila;Apoderado: Elodia Catalá Crespo;Sin entrevistas registradas.
1;Norberto Iriarte Pi;1° Básico A;14;Matemáticas;3.8;Dificultad para concentrarse en clases.;Física;0.93;Nydia Ávila;Apoderado: Elodia Catalá Crespo;Sin entrevistas registradas.
1;Norberto Iriarte Pi;1° Básico A;14;Ciencias Naturales;5.0;Demuestra gran interés por la asignatura.;Física;0.93;Nydia Ávila;Apoderado: Elodia Catalá Crespo;Sin entrevistas registradas.
1;Norberto Iriarte Pi;1° Básico A;14;Historia;5.0;;Física;0.93;Nydia Ávila;Apoderado: Elodia Catalá Crespo;Sin entrevistas registradas.
1;Norberto Iriarte Pi;1° Básico A;14;Inglés;5.2;Creativo y con gran potencial.;Física;0.93;Nydia Ávila;Apoderado: Elodia Catalá Crespo;Sin entrevistas registradas.
1;Norberto Iriarte Pi;1° Básico A;14;Música;5.6;Creativo y con gran potencial.;Física;0.93;Nydia Ávila;Apoderado: Elodia Catalá Crespo;Sin entrevistas registradas.
1;Norberto Iriarte Pi;1° Básico A;14;Artes Visuales;5.0;;Física;0.93;Nydia Ávila;Apoderado: Elodia Catalá Crespo;Sin entrevistas registradas.
1;Norberto Iriarte Pi;1° Básico A;14;Educación Física;4.1;Excelente participación en clases.;Física;0.93;Nydia Ávila;Apoderado: Elodia Catalá Crespo;Sin entrevistas registradas.
2;Leyre Rosa Rosa;1° Básico A;12;Lenguaje;5.4;;Física;0.85;África Pinedo;Apoderado: Isidoro de Mesa;Sin entrevistas registradas.
2;Leyre Rosa Rosa;1° Básico A;12;Matemáticas;5.8;Registra agresiones físicas a compañeros.;Física;0.85;África Pinedo;Apoderado: Isidoro de Mesa;Sin entrevistas registradas.
2;Leyre Rosa Rosa;1° Básico A;12;Ciencias Naturales;4.9;;Física;0.85;África Pinedo;Apoderado: Isidoro de Mesa;Sin entrevistas registradas.
