"Nombre","curso","edad","Asignatura","Detalle_Nota","Nota","Asistencia","Observacion de conducta"
"Marisa Carreras-Ángel","4° Medio A","17","Ciencias","Ensayo 1","4,1","100%","Muestra gran interés, pero a veces conversa en clases."
"Marisa Carreras-Ángel","4° Medio A","17","Ciencias","Control 2","6,8","100%","Muestra gran interés, pero a veces conversa en clases."
"Marisa Carreras-Ángel","4° Medio A","17","Lenguaje","Prueba 1","6,1","100%","Muestra gran interés, pero a veces conversa en clases."
"Marisa Carreras-Ángel","4° Medio A","17","Lenguaje","Laboratorio 2","4,6","100%","Muestra gran interés, pero a veces conversa en clases."
"Marisa Carreras-Ángel","4° Medio A","17","Lenguaje","Laboratorio 3","6,0","100%","Muestra gran interés, pero a veces conversa en clases."
"Marisa Carreras-Ángel","4° Medio A","17","Inglés","Prueba 1","3,8","100%","Muestra gran interés, pero a veces conversa en clases."
"Marisa Carreras-Ángel","4° Medio A","17","Inglés","Control 2","5,2","100%","Muestra gran interés, pero a veces conversa en clases."
"Marisa Carreras-Ángel","4° Medio A","17","Inglés","Exposición 3","3,4","100%","Muestra gran interés, pero a veces conversa en clases."
"Marisa Carreras-Ángel","4° Medio A","17","Matemáticas","Ensayo 1","4,0","100%","Muestra gran interés, pero a veces conversa en clases."
"Marisa Carreras-Ángel","4° Medio A","17","Matemáticas","Tarea 2","6,6","100%","Muestra gran interés, pero a veces conversa en clases."
"Marisa Carreras-Ángel","4° Medio A","17","Matemáticas","Exposición 3","4,4","100%","Muestra gran interés, pero a veces conversa en clases."
"Marisa Carreras-Ángel","4° Medio A","17","Historia","Prueba 1","5,7","100%","Muestra gran interés, pero a veces conversa en clases."
"Marisa Carreras-Ángel","4° Medio A","17","Historia","Ensayo 2","3,7","100%","Muestra gran interés, pero a veces conversa en clases."
"Marisa Carreras-Ángel","4° Medio A","17","Historia","Prueba 3","6,9","100%","Muestra gran interés, pero a veces conversa en clases."
"Esther Orozco López","5° Básico B","15","Historia","Prueba 1","6,1","97%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Esther Orozco López","5° Básico B","15","Historia","Prueba 2","4,5","97%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Esther Orozco López","5° Básico B","15","Historia","Tarea 3","3,0","97%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Esther Orozco López","5° Básico B","15","Lenguaje","Prueba 1","5,6","97%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Esther Orozco López","5° Básico B","15","Lenguaje","Ensayo 2","4,7","97%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Esther Orozco López","5° Básico B","15","Lenguaje","Tarea 3","3,3","97%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Esther Orozco López","5° Básico B","15","Lenguaje","Prueba 4","5,8","97%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Esther Orozco López","5° Básico B","15","Matemáticas","Ensayo 1","4,9","97%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Esther Orozco López","5° Básico B","15","Matemáticas","Prueba 2","4,7","97%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Esther Orozco López","5° Básico B","15","Matemáticas","Control 3","4,6","97%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Esther Orozco López","5° Básico B","15","Matemáticas","Exposición 4","3,9","97%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Esther Orozco López","5° Básico B","15","Educación Física","Laboratorio 1","6,1","97%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Esther Orozco López","5° Básico B","15","Educación Física","Control 2","5,0","97%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Esther Orozco López","5° Básico B","15","Inglés","Ensayo 1","5,5","97%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Esther Orozco López","5° Básico B","15","Inglés","Tarea 2","6,1","97%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Esther Orozco López","5° Básico B","15","Inglés","Tarea 3","3,3","97%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Maite Téllez Tello","2° Básico A","16","Educación Física","Ensayo 1","3,2","87%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Maite Téllez Tello","2° Básico A","16","Educación Física","Laboratorio 2","4,7","87%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Maite Téllez Tello","2° Básico A","16","Historia","Prueba 1","6,4","87%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Maite Téllez Tello","2° Básico A","16","Historia","Exposición 2","6,9","87%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Maite Téllez Tello","2° Básico A","16","Ciencias","Exposición 1","4,7","87%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Maite Téllez Tello","2° Básico A","16","Ciencias","Ensayo 2","5,2","87%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Maite Téllez Tello","2° Básico A","16","Inglés","Control 1","4,2","87%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Maite Téllez Tello","2° Básico A","16","Inglés","Control 2","3,6","87%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Maite Téllez Tello","2° Básico A","16","Inglés","Tarea 3","4,1","87%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Amor Riquelme Pedro","3° Básico B","18","Ciencias","Tarea 1","6,3","84%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
